metric_key,metric_label,category,period,region_scope,region_name,value,unit,source_type,source_document,retrieval_date
condo_transaction_index_yoy_pct,Eigentumswohnungen: Index-Veränderung YoY,TRANSAKTIONSPREISINDEX,2026/2,KANTON,Aargau,6.5,PCT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
condo_transaction_index_yoy_pct,Eigentumswohnungen: Index-Veränderung YoY,TRANSAKTIONSPREISINDEX,2026/2,SCHWEIZ,Schweiz,4.3,PCT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
condo_transaction_index_3y_pct,Eigentumswohnungen: Index-Veränderung 3 Jahre,TRANSAKTIONSPREISINDEX,2026/2,MS_REGION,MS-Region Freiamt,15.1,PCT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
condo_transaction_index_3y_pct,Eigentumswohnungen: Index-Veränderung 3 Jahre,TRANSAKTIONSPREISINDEX,2026/2,KANTON,Aargau,15.6,PCT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
condo_transaction_index_3y_pct,Eigentumswohnungen: Index-Veränderung 3 Jahre,TRANSAKTIONSPREISINDEX,2026/2,SCHWEIZ,Schweiz,12.7,PCT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
house_transaction_index,Einfamilienhäuser: Transaktionspreisindex (2000/1=100),TRANSAKTIONSPREISINDEX,2026/2,MS_REGION,MS-Region Freiamt,225.2,INDEX_2000_100,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
house_transaction_index,Einfamilienhäuser: Transaktionspreisindex (2000/1=100),TRANSAKTIONSPREISINDEX,2026/2,KANTON,Aargau,223.2,INDEX_2000_100,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
house_transaction_index,Einfamilienhäuser: Transaktionspreisindex (2000/1=100),TRANSAKTIONSPREISINDEX,2026/2,SCHWEIZ,Schweiz,243.8,INDEX_2000_100,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
house_transaction_index_qoq_pct,Einfamilienhäuser: Index-Veränderung QoQ,TRANSAKTIONSPREISINDEX,2026/2,MS_REGION,MS-Region Freiamt,2.0,PCT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
house_transaction_index_qoq_pct,Einfamilienhäuser: Index-Veränderung QoQ,TRANSAKTIONSPREISINDEX,2026/2,KANTON,Aargau,2.0,PCT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
house_transaction_index_qoq_pct,Einfamilienhäuser: Index-Veränderung QoQ,TRANSAKTIONSPREISINDEX,2026/2,SCHWEIZ,Schweiz,1.5,PCT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
house_transaction_index_yoy_pct,Einfamilienhäuser: Index-Veränderung YoY,TRANSAKTIONSPREISINDEX,2026/2,MS_REGION,MS-Region Freiamt,5.6,PCT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
house_transaction_index_yoy_pct,Einfamilienhäuser: Index-Veränderung YoY,TRANSAKTIONSPREISINDEX,2026/2,KANTON,Aargau,5.1,PCT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
house_transaction_index_yoy_pct,Einfamilienhäuser: Index-Veränderung YoY,TRANSAKTIONSPREISINDEX,2026/2,SCHWEIZ,Schweiz,4.3,PCT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
house_transaction_index_3y_pct,Einfamilienhäuser: Index-Veränderung 3 Jahre,TRANSAKTIONSPREISINDEX,2026/2,MS_REGION,MS-Region Freiamt,15.1,PCT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
house_transaction_index_3y_pct,Einfamilienhäuser: Index-Veränderung 3 Jahre,TRANSAKTIONSPREISINDEX,2026/2,KANTON,Aargau,14.9,PCT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
house_transaction_index_3y_pct,Einfamilienhäuser: Index-Veränderung 3 Jahre,TRANSAKTIONSPREISINDEX,2026/2,SCHWEIZ,Schweiz,12.7,PCT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
population,Anzahl Einwohner,NACHFRAGE,2024,GEMEINDE,Wohlen (AG),17816,COUNT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
population,Anzahl Einwohner,NACHFRAGE,2024,MS_REGION,MS-Region Freiamt,84433,COUNT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
population,Anzahl Einwohner,NACHFRAGE,2024,KANTON,Aargau,735808,COUNT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
population,Anzahl Einwohner,NACHFRAGE,2024,SCHWEIZ,Schweiz,9051029,COUNT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
population_growth_3y_pct,Bevölkerungsentwicklung über 3 Jahre,NACHFRAGE,2024,GEMEINDE,Wohlen (AG),5.4,PCT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
population_growth_3y_pct,Bevölkerungsentwicklung über 3 Jahre,NACHFRAGE,2024,MS_REGION,MS-Region Freiamt,5.0,PCT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
population_growth_3y_pct,Bevölkerungsentwicklung über 3 Jahre,NACHFRAGE,2024,KANTON,Aargau,4.7,PCT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
population_growth_3y_pct,Bevölkerungsentwicklung über 3 Jahre,NACHFRAGE,2024,SCHWEIZ,Schweiz,3.6,PCT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
households,Anzahl Haushalte,NACHFRAGE,2024,GEMEINDE,Wohlen (AG),7490,COUNT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
households,Anzahl Haushalte,NACHFRAGE,2024,MS_REGION,MS-Region Freiamt,35330,COUNT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
households,Anzahl Haushalte,NACHFRAGE,2024,KANTON,Aargau,320967,COUNT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
households,Anzahl Haushalte,NACHFRAGE,2024,SCHWEIZ,Schweiz,4063044,COUNT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
share_1p_households_pct,Anteil Einpersonenhaushalte,NACHFRAGE,2024,GEMEINDE,Wohlen (AG),32.3,PCT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
share_1p_households_pct,Anteil Einpersonenhaushalte,NACHFRAGE,2024,MS_REGION,MS-Region Freiamt,30.8,PCT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
share_1p_households_pct,Anteil Einpersonenhaushalte,NACHFRAGE,2024,KANTON,Aargau,33.4,PCT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
share_1p_households_pct,Anteil Einpersonenhaushalte,NACHFRAGE,2024,SCHWEIZ,Schweiz,37.3,PCT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
share_2p_households_pct,Anteil Zweipersonenhaushalte,NACHFRAGE,2024,GEMEINDE,Wohlen (AG),32.8,PCT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
share_2p_households_pct,Anteil Zweipersonenhaushalte,NACHFRAGE,2024,MS_REGION,MS-Region Freiamt,34.1,PCT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
share_2p_households_pct,Anteil Zweipersonenhaushalte,NACHFRAGE,2024,KANTON,Aargau,34.7,PCT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
share_2p_households_pct,Anteil Zweipersonenhaushalte,NACHFRAGE,2024,SCHWEIZ,Schweiz,32.4,PCT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
share_3plus_households_pct,Anteil Mehrpersonenhaushalte,NACHFRAGE,2024,GEMEINDE,Wohlen (AG),35.0,PCT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
share_3plus_households_pct,Anteil Mehrpersonenhaushalte,NACHFRAGE,2024,MS_REGION,MS-Region Freiamt,35.1,PCT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
share_3plus_households_pct,Anteil Mehrpersonenhaushalte,NACHFRAGE,2024,KANTON,Aargau,31.9,PCT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
share_3plus_households_pct,Anteil Mehrpersonenhaushalte,NACHFRAGE,2024,SCHWEIZ,Schweiz,30.3,PCT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
pt_reachable_residents_30min,"Erreichbare Einwohner (ÖV, 30 Min.)",MOBILITAET,2025,GEMEINDE,Wohlen (AG),210138,COUNT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
pt_reachable_residents_30min,"Erreichbare Einwohner (ÖV, 30 Min.)",MOBILITAET,2025,MS_REGION,MS-Region Freiamt,81203,COUNT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
pt_reachable_residents_30min,"Erreichbare Einwohner (ÖV, 30 Min.)",MOBILITAET,2025,KANTON,Aargau,149318,COUNT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
pt_reachable_residents_30min,"Erreichbare Einwohner (ÖV, 30 Min.)",MOBILITAET,2025,SCHWEIZ,Schweiz,120729,COUNT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
pt_reachable_jobs_30min,"Erreichbare Beschäftigte (ÖV, 30 Min.)",MOBILITAET,2025,GEMEINDE,Wohlen (AG),128631,COUNT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
pt_reachable_jobs_30min,"Erreichbare Beschäftigte (ÖV, 30 Min.)",MOBILITAET,2025,MS_REGION,MS-Region Freiamt,49138,COUNT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
pt_reachable_jobs_30min,"Erreichbare Beschäftigte (ÖV, 30 Min.)",MOBILITAET,2025,KANTON,Aargau,116340,COUNT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
pt_reachable_jobs_30min,"Erreichbare Beschäftigte (ÖV, 30 Min.)",MOBILITAET,2025,SCHWEIZ,Schweiz,96526,COUNT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
car_reachable_residents_30min,"Erreichbare Einwohner (MIV, 30 Min.)",MOBILITAET,2025,GEMEINDE,Wohlen (AG),1585479,COUNT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
car_reachable_residents_30min,"Erreichbare Einwohner (MIV, 30 Min.)",MOBILITAET,2025,MS_REGION,MS-Region Freiamt,1486461,COUNT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
car_reachable_residents_30min,"Erreichbare Einwohner (MIV, 30 Min.)",MOBILITAET,2025,KANTON,Aargau,1286384,COUNT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
car_reachable_residents_30min,"Erreichbare Einwohner (MIV, 30 Min.)",MOBILITAET,2025,SCHWEIZ,Schweiz,671419,COUNT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
car_reachable_jobs_30min,"Erreichbare Beschäftigte (MIV, 30 Min.)",MOBILITAET,2025,GEMEINDE,Wohlen (AG),1232250,COUNT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
car_reachable_jobs_30min,"Erreichbare Beschäftigte (MIV, 30 Min.)",MOBILITAET,2025,MS_REGION,MS-Region Freiamt,1156713,COUNT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
car_reachable_jobs_30min,"Erreichbare Beschäftigte (MIV, 30 Min.)",MOBILITAET,2025,KANTON,Aargau,958152,COUNT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
car_reachable_jobs_30min,"Erreichbare Beschäftigte (MIV, 30 Min.)",MOBILITAET,2025,SCHWEIZ,Schweiz,471915,COUNT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
tax_burden_single_60k_pct,"Steuerbelastung natürliche Personen, Singles, 60'000 CHF",STEUERN,2025,GEMEINDE,Wohlen (AG),8.7,PCT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
tax_burden_single_60k_pct,"Steuerbelastung natürliche Personen, Singles, 60'000 CHF",STEUERN,2025,MS_REGION,MS-Region Freiamt,8.3,PCT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
tax_burden_single_60k_pct,"Steuerbelastung natürliche Personen, Singles, 60'000 CHF",STEUERN,2025,KANTON,Aargau,8.3,PCT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
tax_burden_single_60k_pct,"Steuerbelastung natürliche Personen, Singles, 60'000 CHF",STEUERN,2025,SCHWEIZ,Schweiz,8.8,PCT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
tax_burden_couple_120k_pct,"Steuerbelastung natürliche Personen, Paare, 120'000 CHF",STEUERN,2025,GEMEINDE,Wohlen (AG),8.8,PCT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
tax_burden_couple_120k_pct,"Steuerbelastung natürliche Personen, Paare, 120'000 CHF",STEUERN,2025,MS_REGION,MS-Region Freiamt,8.4,PCT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
tax_burden_couple_120k_pct,"Steuerbelastung natürliche Personen, Paare, 120'000 CHF",STEUERN,2025,KANTON,Aargau,8.4,PCT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
